id,first_name,last_name,email,gender,Pharmacy Brand,Pharmacy Generic,Pharmacy Company
1,Massimo,Iannini,miannini0@indiegogo.com,Male,Clemastine Fumarate,Clemastine Fumarate,"Qualitest Pharmaceuticals, Inc"
2,Maximilien,Dunphy,mdunphy1@weibo.com,Male,equaline childrens pain and fever,Acetaminophen,Supervalu Inc
3,Foss,Akker,fakker2@dailymotion.com,Male,Demeclocycline Hydrochloride,Demeclocycline Hydrochloride,Amneal Pharmaceuticals
4,Brandie,Lally,blally3@rediff.com,Female,Tamsulosin Hydrochloride,tamsulosin hydrochloride,Mylan Pharmaceuticals Inc.
5,Marjy,Versey,mversey4@sfgate.com,Female,Aspergillus repens,Aspergillus repens,"Nelco Laboratories, Inc."
6,Cortie,Padginton,cpadginton5@cbc.ca,Male,Colgate Optic White Sparkling Mint Flavor,SODIUM MONOFLUOROPHOSPHATE,Mission Hills S.A de C.V
7,Athena,Ragat,aragat6@about.me,Agender,Kalium aceticum comp. 6,Kalium aceticum comp. 6,Uriel Pharmacy Inc.
8,Albert,Finci,afinci7@xing.com,Genderqueer,Naproxen,Naproxen,MARKSANS PHARMA LIMITED
9,Nancy,Coltherd,ncoltherd8@w3.org,Female,Citalopram,Citalopram,"Blenheim Pharmacal, Inc."
10,Mikaela,Yakushkev,myakushkev9@patch.com,Polygender,Delsym Night Time,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, and DOXYLAMINE SUCCINATE",Reckitt Benckiser LLC
11,Garrett,Orpen,gorpena@t-online.de,Male,Sumatriptan Succinate,Sumatriptan Succinate,Aurobindo Pharma Limited
12,Betsy,Munford,bmunfordb@elegantthemes.com,Female,Nifedical,nifedipine,State of Florida DOH Central Pharmacy
13,Leon,Baulcombe,lbaulcombec@abc.net.au,Male,Olive Pollen,Olive Pollen,"Nelco Laboratories, Inc."
14,Anson,Melross,amelrossd@yellowpages.com,Male,Coralite ANTIBACTERIAL BANDAGE WITH NON STICK PAD,BENZALKONIUM CHLORIDE,UNITED EXCHANGE CORP
15,Layton,Brecken,lbreckene@nasa.gov,Male,Loratadine D,"Loratadine, Pseudoephedrine",Perrigo New York Inc
16,Amby,Gallardo,agallardof@google.com.br,Genderfluid,Protective Foundation Sunscreen SPF 15,"Sunscreen, AVOBENZONE, OCTINOXATE",Sunrider Manufacturing L.P.
17,Adolph,Poultney,apoultneyg@google.com,Male,Carbamazepine,Carbamazepine,Teva Pharmaceuticals USA Inc
18,Poppy,Sayles,psaylesh@google.it,Female,DIVALPROEX SODIUM,DIVALPROEX SODIUM,REMEDYREPACK INC.
19,Dyanna,Mattack,dmattacki@rambler.ru,Female,Dacarbazine,DACARBAZINE,"APP Pharmaceuticals, LLC"
20,Kay,Lowne,klownej@dmoz.org,Female,Suprenza,phentermine hydrochloride,"Akrimax Pharmaceuticals, LLC"
21,Theressa,Cuxon,tcuxonk@plala.or.jp,Female,Acacia,Acacia,"Nelco Laboratories, Inc."
22,Xylia,Janeway,xjanewayl@privacy.gov.au,Female,Pain Relief Cold,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",HyVee Inc
23,Tonya,Liddel,tliddelm@google.nl,Female,LOreal Paris Skin Expertise Collagen Moisture Filler,Ensulizole Octinoxate,L'Oreal USA Products Inc
24,Tomi,Heugle,theuglen@wunderground.com,Female,CLARINS Broad Spectrum SPF 30 Sunscreen For Face Wrinkle Control,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE",Laboratoires Clarins S.A.
25,Phoebe,Webley,pwebleyo@qq.com,Female,Folic Acid,Folic Acid,American Health Packaging
26,Terry,Zack,tzackp@mashable.com,Female,COUMADIN,warfarin sodium,"Aphena Pharma Solutions - Tennessee, Inc."
